"PLU코드","상품명"
"8801046986677","2080)불소치실1입(40M)"
"8801046261255","2080)브레드이발소칫솔3단계(1입)"
"8801046996539","2080)블루치약90g"
"8801046405673","2080)센서티브칫솔(초미세모)"
"8801046356807","2080)슈퍼클린칫솔"
"8801046311615","2080)스마트케어치약90g"
"8801046310847","2080)시그니처그린라벨치약90g"
"8801046310625","2080)시그니처토탈블루120g*3입(F)"
"8801046384237","2080)시크릿쥬쥬칫솔3단계(1입)"
"8801046283004","2080)쏙쏙터치완전미세모4입"
"8801046283011","2080)쏙쏙터치이중미세모4입"
"8801046315316","2080)애플민트치약110g"
"8801046310892","2080)어드밴스블루치약90g"
"8801046375266","2080)엑스퍼트차콜칫솔(미세모)"
"8801046372999","2080)오뚜기3분양치카레향치약120g"
"8801046986745","2080)오리지날블루치약50g"
"8801046318867","2080)오리지날알파화이트90G"
"8801046310854","2080)오리지날알파화이트치약90g"
"8801046267028","2080)오리지날화이트치약90g"
"8801046313039","2080)오리지널알파화이트90g(해체)"
"8801046316450","2080)음파진동칫솔"
"8801046430033","2080)이지클린칫솔4+4입(이중미세모)"
"8801046994399","2080)진지발리스K오리지날120g*3입"
"8801046281697","2080)진지발리스K진저오일120g*3입"
"8801046311622","2080)청은차치약90g"
"8801046846087","2080)치약오리지날125g"
"8801046996799","2080)치약진지발리스오리지날125g"
"8801046832479","2080)치약칫솔세트"
"8801046447116","2080)치약칫솔세트(파우치)"
"8801046888865","2080)칫솔미세모(5+5입)"
"8801046860458","2080)칫솔센스티브미세모"
"8801046057216","2080)칫솔오리지날탄력모"
"8801046240458","2080)칫솔진지발리스"
"8801046985779","2080)칫솔토탈케어미세모"
"8801046390641","2080)컴플리트치약120g*3쿨민트"
"8801046390665","2080)컴플리트치약120g*3허브민트"
"8801046364031","2080)컴플리트치약치솔세트"
"8801046308912","2080)키즈가글250ml딸기맛(브레드)"
"8801046308929","2080)키즈가글250ml바나나맛(브레드)"
"8801046441848","2080)토탈소프트칫솔(1입)"
"8801046985755","2080)토탈케어칫솔탄력모"
"8801046245903","2080)토탈케어칫솔탄력모(종료)"
"8801046311486","2080)퓨어핑크솔트치약120g"
"8801046389317","2080)프로나인칫솔(1입)"
"8801046439845","2080)핑크퐁키즈칫솔2단계(1입)"
"8801046441985","2080)해죽순소금담은칫솔(1입)"
"8801046347164","2080)핵불닭호치치약100g"
"8801046338971","2080)핵불닭휴대용양치세트"
"8801046254776","2080)홀릭치약100g"
"8801046996553","2080)화이트치약90g"
"8801046441978","2080)히말라야핑크솔트칫솔(1입)"
"8801116007172","20K)레종프렌치요고1mg"
"8809240382134","20설)떡선물세트(손빛진1호)"
"8806379998540","20설)루이본아리엘진주큐빅귀걸이"
"8806379998519","20설)루이본엄프틴하트목걸이"
"8806379998557","20설)루이본유얼페어귀걸이"
"8806379998526","20설)루이본크레센도달별목걸이"
"8806379998496","20설)루이본클래식다이아목걸이"
"8806379998533","20설)루이본파운딩하트큐빅드롭롱귀걸이"
"8809258566892","20설)머렐남성양말2족세트"
"8809258567912","20설)머렐여성양말2족세트"
"8804619925141","20설)신궁전통한과(복드림)특판용"
"8809258567929","20설)케이스위스남성양말2족세트"
"8809301284490","20설)케이스위스남성자수양말3족세트"
"1500000104450","20추)코베아)AL미니테이블Ⅲ"
"8806379998823","20추석)루이본14K꽃리스목걸이"
"8806379998847","20추석)루이본14K반짝나비목걸이"
"8806379998885","20추석)루이본14K방울꽃원터치귀걸이"
"8806379998854","20추석)루이본14K버블링귀걸이"
"8806379998830","20추석)루이본14K심플라인큐목걸이"
"8806379998892","20추석)루이본14K심플써클팔찌"
"8806379998878","20추석)루이본14K엣지써클원터치귀걸이"
"8806379998861","20추석)루이본14K직사각원터치귀걸이"
"8806379998816","20추석)쓰리쎄븐네일케어11종세트(금속케이스)"
"8806379998793","20추석)쓰리쎄븐네일케어7종세트(ABS케이스)"
"8806379998809","20추석)쓰리쎄븐네일케어9종세트(인조가죽케이스)"
"8805123012174","20추석)카카오프렌즈자수세면타월4매(라이언)"
"8805123012136","20추석)카카오프렌즈자수세면타월4매(어피치)"
"8805123013638","20추석)카카오프렌즈자수세면타월5매"
"8809558847271","20프레시지)볼로네제라구파스타647g"
"1500000128074","20프레시지)볼로네제라구파스타647g (사전예약)"
"8809811820966","20피코크)리북방순대전골1100g"
"8801116000456","21K)더원블루1m"
"1500000109653","21설)가리발디 6+6멀티팩세트"
"1500000109738","21설)라떼아트 우유거품기 F04MK"
"1500000109745","21설)아르떼 바리스토A01 멀티캡슐머신(우드)"
"1500000110307","21설)아르떼 바리스토A01 멀티캡슐머신(화이트)"
"8808024028855","21설)쟈뎅 올더타임 아워티 선물세트"
"8809558840333","21프레시지)소고기샤브전골760g"
"8809810162821","21피코크)부채살찹스테이크487g"
"8801116001033","22K)더원오렌지0.5m"
"1500000021290","22년추석구르메)유러피안치즈세트"
"1500000064204","22년추석구르메)홈파티치즈세트"
"8809810161985","22피코크)돈마호크스테이크629g"
"8806379959183","23FW)따뜻한넥워머"
"8806379959190","23FW)따뜻한스마트폰터치장갑"
"8806379959671","23FW)따뜻한울양말"
"8806379959688","23FW)따뜻한접이식왕귀마개"
"8808906775686","23FW)레그웜50D타이즈"
"8808906775693","23FW)레그웜80D타이즈"
"8808906775716","23FW)레그웜기모레깅스"
"8808906775709","23FW)레그웜기모타이즈"
"8808906775679","23FW)레그웜니삭스"
"8808906775723","23FW)레그웜학생용타이즈"
"8808906779547","23FW)바디웜남성상의"
"8808906779554","23FW)바디웜남성하의"
"8808906779523","23FW)바디웜여성상의"
"8808906779530","23FW)바디웜여성하의"
"8808906779561","23FW)바디웜패딩목도리"
"8808906780857","23FW)바디웜패딩조끼100"
"8808906780864","23FW)바디웜패딩조끼105"
"8801116006533","23K)보헴시가슬림핏브라운1mg"
"8808906684988","23SS)1+1면밀착덧신"
"8808906694871","23SS)남성모달팬티(100)"
"8808906694864","23SS)남성모달팬티(105)"
"8808906699630","23SS)냉장고반바지(Free)"
"8808906687842","23SS)베이직쿨목토시"
"8808906685008","23SS)스니커즈밀착덧신"
"8808906685015","23SS)시스루밀착덧신"
"8806379999462","23SS)아쿠아엑스쿨토시블랙"
"8806379999486","23SS)아쿠아엑스쿨토시손등형블랙"
"8806379999479","23SS)아쿠아엑스쿨토시화이트"
"8808906694857","23SS)여성모달팬티(90)"
"8808906694840","23SS)여성모달팬티(95)"
"8808906687828","23SS)이중토우밀착덧신"
"8808906684995","23SS)컴포트밀착덧신"
"8806379937037","23SS)쿨넥스카프"
"8808906687835","23SS)쿨티셔츠"
"8806379999530","23SS)패턴목쿨토시"
"1500000068868","23가정의달)골드장미포장(1P)"
"1500000136895","23가정의달)작약꽃다발"
"1500000136925","23가정의달)파스탤작약화기"
"1500000136901","23가정의달)프리져브드수국다발"
"1500000136918","23가정의달)하트카네이션다발"
"8806379936825","23구찌)오피디아GG카드지갑"
"8806379936818","23구찌)오피디아슈프림GG카드지갑"
"8806379936832","23구찌)홀스빗1955카드지갑"
"8007222601079","23년설_구르메)나만의홈파티치즈세트"
"8007222405325","23년설_구르메)유러피안치즈세트"
"8713638007946","23년설_구르메)치즈&사퀴테리선물세트"
"8806379936931","23루이본)14k개더링원터치귀걸이"
"8806379936917","23루이본)14k루아엔리스귀걸이"
"8806379936986","23루이본)14k블루밍플라이목걸이"
"8806379937006","23루이본)14k생크추어리목걸이"
"8806379936955","23루이본)14k샤인레인드롭귀걸이"
"8806379937020","23루이본)14k셀리라운드목걸이"
"8806379936924","23루이본)14k오로라샤인귀걸이"
"8806379936979","23루이본)14k클레어리프목걸이"
"8806379937013","23루이본)14k투박스히트참목걸이"
"8806379936993","23루이본)14k트윙클참목걸이"
"8806379936962","23루이본)14k플라워포유목걸이"
"8806379936948","23루이본)14k플로즈스퀘어바귀걸이"
"8806379936795","23버버리)빈티지체크반지갑"
"8806379936788","23버버리)퀄팅롤라반지갑"
"8806379936863","23생로랑)모노그램마틀라세숄더백"
"8806379936856","23생로랑)모노그램케이트사첼백"
"8806379936849","23생로랑)카메라크로스백"
"8809109116917","23설사옹원)명절모듬전세트(냉동)"
"1500000134839","23설풍성)명장명란선물세트600g"
"1500000134822","23설풍성)명장명란선물세트800g"
