base_date,predict_date,plu_code,product_name,product_category,predicted_sales_qty,recent7_mean,guardrailed_predicted_sales_qty,recommended_order_qty
2024-11-29,2024-11-30,1500000166045.0,대정)통등심돈까스&쏘야도시락(조선대특판용),밥류,88.71827380952384,31.142857142857142,37.37142857142857,40
2024-11-29,2024-11-30,8809650797634.0,대정)더빅베이컨참치마요삼각,밥류,2.9841858640635373,1.5714285714285714,1.8857142857142857,2
2024-11-29,2024-11-30,8809722900009.0,팡마니)햄치즈샌드위치2편(중단),조리빵,7.298667027417025,5.0,5.91946681096681,7
2024-11-29,2024-11-30,8809962581785.0,대정)힘내용김밥2편,밥류,39.71259920634921,21.142857142857142,25.37142857142857,27
2024-11-30,2024-12-01,8801074008044.0,한성)바베큐직화구이70g,간편식품,14.245130952380949,8.857142857142858,10.628571428571428,12
2024-11-30,2024-12-01,8801117343705.0,오리온)마이구미청포도66g,캔디/초콜릿,3.7678939737988753,2.2857142857142856,2.7428571428571424,3
2024-11-30,2024-12-01,8801123727742.0,롯데)쉐푸드쫄깃롤만두180g,간편식품,4.33201728621519,2.4285714285714284,2.914285714285714,4
2024-11-30,2024-12-01,8809827250146.0,허쉬)초코멜로쿠키45g,과자,6.058810130986477,1.1428571428571428,1.3714285714285712,2
2024-11-30,2024-12-01,8809846900886.0,매일)셀렉스프로핏모카초코250ml,유제품,5.38561407468885,2.857142857142857,3.4285714285714284,4
2024-12-31,2025-01-01,4807770192326.0,에이스)키드오버터맛90g,과자,2.7187471579441875,5.285714285714286,4.258927434606246,5
2024-12-31,2025-01-01,8801056242725.0,롯데)펩시콜라제로파인355ml,음료,2.424046715488936,4.571428571428571,3.7124758290527167,4
2024-12-31,2025-01-01,8801111187930.0,크라운)마이쮸복숭아44g,캔디/초콜릿,1.465421733928026,1.4285714285714286,1.4433115507140675,2
2024-12-31,2025-01-01,8801115381518.0,동서)스타벅스카페라떼270ml,유제품,1.66572872108566,2.857142857142857,2.3805772027199783,3
2024-12-31,2025-01-01,8801121107942.0,매일)바리스타모카프레소컵250ml,유제품,3.5635118427689885,2.857142857142857,3.1396904513933097,4
2024-12-31,2025-01-01,8809605750042.0,레트로)자야30g,과자,2.4407927732910992,1.5714285714285714,1.8857142857142857,2
2024-12-31,2025-01-01,8809650797801.0,대정)더빅통햄참치마요삼각,밥류,3.846361609516215,3.857142857142857,3.8528303580922003,5
2024-12-31,2025-01-01,9002975319003.0,하리보)해피그레이프100g,캔디/초콜릿,2.125950127272109,2.4285714285714284,2.3075229080517006,3
2025-01-31,2025-02-01,8801068374803.0,삼립)불고기치즈부리또(2편),간편식품,8.181310245310241,13.0,11.072524098124097,12
2025-01-31,2025-02-01,8801104667029.0,빙그레)스페셜티탄자니아460ml,유제품,4.927688113056535,1.5714285714285714,1.8857142857142857,2
2025-01-31,2025-02-01,8801104667043.0,빙그레)스페셜티예가체프460ml,유제품,3.559135385847424,3.0,3.22365415433897,4
2025-01-31,2025-02-01,8801117482503.0,오리온)단백질볼48g(D),캔디/초콜릿,6.783292544894717,9.0,8.113317017957886,9
2025-01-31,2025-02-01,8809171363509.0,죠스)오리지널어묵떡볶이240g,간편식품,2.5313994726222933,2.142857142857143,2.298274074763203,3
2025-01-31,2025-02-01,8809650795159.0,대정)더빅매콤제육삼각김밥2편,밥류,10.02740367965368,28.571428571428573,21.153818614718617,23
2025-01-31,2025-02-01,8809650798310.0,대정)명란마요삼각2편,밥류,21.185755772005773,58.42857142857143,43.531445165945165,46
2025-01-31,2025-02-01,9300682053761.0,마즈)엠앤엠즈블록크리스피44g,캔디/초콜릿,4.296085919161632,3.142857142857143,3.6041486533789384,4
2025-01-31,2025-02-01,9556001284358.0,네슬레)킷캣청키프룻비스킷38g,캔디/초콜릿,5.556173340548342,11.285714285714286,8.993897907647908,10
